"Basic","Basic_solved","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Board"
12,41,0,0,0,81,8,6.3023974895477295,50,2,"[[8| 0| 9| 0| 5| 0| 0| 3| 0]| [0| 7| 0| 8| 0| 4| 0| 5| 9]| [0| 0| 5| 2| 0| 9| 8| 0| 7]| [0| 0| 0| 0| 0| 5| 0| 0| 4]| [0| 0| 0| 0| 2| 1| 0| 0| 0]| [7| 9| 4| 6| 0| 0| 0| 0| 0]| [0| 1| 6| 7| 0| 0| 0| 0| 0]| [0| 0| 0| 5| 0| 2| 6| 0| 0]| [0| 2| 8| 3| 1| 0| 7| 9| 0]]"
14,39,0,0,0,81,2,1.7800467014312744,50,2,"[[4| 0| 0| 0| 3| 0| 0| 0| 0]| [0| 1| 0| 8| 0| 5| 7| 0| 0]| [7| 0| 0| 0| 0| 0| 0| 8| 0]| [8| 0| 7| 2| 0| 9| 5| 3| 0]| [2| 0| 0| 7| 0| 3| 6| 9| 8]| [5| 0| 0| 0| 0| 0| 0| 0| 4]| [0| 0| 0| 3| 6| 0| 0| 5| 9]| [0| 0| 0| 0| 8| 1| 3| 2| 0]| [9| 0| 3| 0| 0| 0| 8| 1| 0]]"
14,43,0,0,0,81,1,1.230191707611084,50,2,"[[0| 6| 0| 0| 0| 5| 2| 0| 4]| [0| 0| 7| 1| 0| 0| 3| 0| 0]| [8| 9| 2| 6| 0| 0| 0| 0| 5]| [2| 0| 0| 4| 0| 7| 0| 0| 0]| [0| 0| 0| 9| 3| 0| 0| 2| 0]| [1| 0| 0| 0| 0| 0| 9| 0| 7]| [0| 2| 0| 7| 0| 0| 0| 5| 0]| [0| 0| 4| 0| 5| 9| 1| 0| 0]| [5| 1| 0| 2| 0| 0| 4| 7| 9]]"
12,42,0,0,0,81,13,5.428486585617065,50,2,"[[0| 0| 1| 9| 0| 0| 4| 0| 2]| [0| 0| 0| 0| 7| 2| 0| 0| 1]| [8| 9| 0| 0| 0| 0| 0| 0| 0]| [3| 0| 9| 5| 4| 0| 8| 0| 6]| [0| 0| 0| 1| 0| 8| 3| 0| 7]| [6| 0| 0| 0| 0| 3| 0| 0| 4]| [0| 8| 0| 7| 0| 9| 0| 0| 0]| [0| 0| 3| 6| 0| 5| 2| 7| 9]| [0| 0| 0| 3| 0| 0| 5| 0| 8]]"
14,44,0,0,0,81,3,1.6243789196014404,50,2,"[[0| 0| 1| 9| 0| 0| 0| 3| 2]| [3| 7| 8| 0| 0| 2| 0| 6| 9]| [2| 0| 9| 3| 0| 0| 1| 0| 4]| [6| 9| 5| 8| 1| 4| 0| 0| 0]| [0| 0| 0| 0| 0| 3| 0| 9| 8]| [8| 0| 0| 0| 0| 0| 0| 5| 0]| [4| 5| 6| 0| 0| 0| 9| 1| 0]| [0| 1| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 4| 0| 0| 0| 0| 5]]"
11,43,0,0,0,81,6,2.8355226516723633,50,2,"[[0| 0| 0| 4| 6| 2| 7| 0| 9]| [0| 0| 0| 0| 7| 0| 0| 0| 0]| [0| 6| 0| 0| 0| 0| 2| 0| 8]| [5| 0| 0| 0| 9| 0| 4| 7| 3]| [0| 0| 0| 6| 0| 0| 1| 0| 0]| [2| 0| 3| 0| 8| 0| 0| 0| 5]| [6| 9| 0| 0| 0| 7| 8| 0| 4]| [4| 0| 8| 1| 0| 6| 3| 0| 7]| [3| 0| 0| 0| 0| 8| 0| 2| 0]]"
16,43,0,0,0,81,1,0.7601051330566406,50,2,"[[0| 2| 5| 1| 0| 0| 8| 0| 0]| [1| 0| 0| 2| 5| 7| 0| 0| 0]| [4| 7| 0| 0| 8| 0| 1| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 2| 5]| [0| 0| 0| 0| 0| 0| 0| 4| 0]| [2| 0| 8| 9| 4| 6| 3| 1| 0]| [3| 1| 6| 0| 7| 8| 0| 0| 0]| [5| 0| 2| 0| 0| 0| 0| 8| 1]| [0| 0| 0| 0| 1| 2| 5| 0| 0]]"
17,43,0,0,0,81,7,3.1399526596069336,50,2,"[[2| 7| 0| 0| 4| 0| 9| 0| 1]| [6| 0| 4| 8| 0| 0| 0| 7| 0]| [0| 0| 9| 0| 0| 3| 8| 0| 4]| [0| 0| 0| 0| 3| 0| 0| 0| 7]| [0| 4| 0| 0| 5| 9| 6| 8| 3]| [0| 8| 0| 6| 7| 0| 0| 0| 0]| [3| 6| 0| 9| 8| 0| 1| 0| 0]| [0| 0| 0| 0| 1| 0| 0| 2| 0]| [0| 0| 2| 0| 0| 5| 0| 0| 8]]"
15,41,0,0,0,81,5,2.399916887283325,50,2,"[[0| 0| 0| 0| 0| 4| 5| 0| 2]| [0| 0| 0| 1| 0| 0| 0| 6| 0]| [0| 0| 2| 0| 0| 0| 8| 0| 4]| [8| 0| 6| 2| 0| 0| 0| 0| 9]| [4| 9| 5| 0| 1| 0| 0| 2| 3]| [3| 0| 0| 9| 0| 5| 0| 0| 1]| [1| 0| 0| 4| 9| 3| 2| 7| 6]| [0| 0| 0| 5| 0| 1| 0| 0| 0]| [6| 0| 0| 0| 7| 2| 0| 0| 0]]"
14,43,0,0,0,81,3,1.5701494216918945,50,2,"[[0| 0| 3| 4| 0| 0| 6| 2| 0]| [0| 0| 0| 3| 0| 0| 0| 0| 0]| [2| 0| 0| 0| 5| 0| 1| 0| 3]| [3| 0| 0| 5| 0| 0| 8| 0| 6]| [4| 5| 0| 0| 2| 0| 0| 0| 9]| [9| 0| 0| 6| 0| 7| 2| 0| 4]| [1| 0| 4| 0| 0| 5| 0| 8| 2]| [0| 6| 0| 0| 7| 3| 5| 0| 1]| [0| 3| 0| 0| 0| 8| 0| 0| 0]]"
16,44,0,0,0,81,9,3.9103403091430664,50,2,"[[0| 0| 0| 8| 0| 0| 1| 4| 7]| [0| 6| 8| 5| 4| 0| 0| 2| 3]| [2| 0| 1| 3| 0| 7| 0| 6| 8]| [0| 0| 0| 0| 1| 3| 8| 0| 4]| [6| 0| 0| 0| 0| 0| 0| 0| 0]| [3| 1| 0| 0| 0| 4| 0| 0| 2]| [0| 7| 0| 4| 0| 2| 0| 1| 0]| [1| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 9| 6| 1| 0| 0| 0| 0| 5]]"
14,44,0,0,0,81,8,3.549896001815796,50,2,"[[0| 7| 0| 0| 0| 5| 0| 0| 6]| [0| 0| 0| 0| 4| 2| 1| 5| 0]| [0| 0| 5| 7| 0| 0| 0| 0| 0]| [6| 0| 1| 2| 9| 8| 3| 0| 0]| [0| 4| 0| 6| 3| 7| 0| 0| 5]| [0| 0| 7| 0| 0| 4| 0| 8| 0]| [0| 1| 0| 0| 8| 6| 7| 0| 0]| [0| 0| 8| 9| 0| 0| 0| 0| 0]| [0| 9| 0| 0| 2| 0| 5| 3| 8]]"
