"Basic","Basic_solved","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Board"
15,50,1,2,3,81,6,8.89721393585205,100,2,"[[0| 0| 0| 7| 0| 0| 6| 0| 0]| [0| 3| 8| 0| 0| 5| 0| 7| 0]| [0| 0| 4| 0| 0| 0| 5| 0| 2]| [9| 8| 0| 0| 0| 0| 2| 0| 7]| [0| 0| 2| 8| 0| 0| 0| 3| 0]| [3| 0| 7| 0| 0| 0| 8| 0| 6]| [0| 0| 3| 0| 1| 0| 7| 0| 0]| [0| 0| 0| 0| 3| 0| 0| 6| 5]| [2| 0| 5| 0| 7| 4| 0| 1| 0]]"
22,57,3,2,4,81,7,10.081985712051392,100,2,"[[0| 7| 0| 0| 0| 0| 0| 0| 0]| [0| 4| 0| 2| 0| 0| 7| 0| 0]| [0| 0| 0| 0| 8| 0| 0| 6| 9]| [0| 0| 2| 4| 0| 0| 1| 0| 0]| [9| 6| 1| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 3| 0| 0| 0| 5]| [0| 0| 7| 6| 0| 0| 3| 0| 0]| [0| 9| 0| 0| 0| 0| 0| 2| 6]| [0| 1| 0| 0| 5| 0| 0| 0| 0]]"
20,50,0,0,3,81,40,48.12706804275513,100,2,"[[0| 0| 0| 3| 0| 0| 0| 6| 8]| [0| 4| 7| 5| 8| 0| 0| 0| 0]| [0| 2| 0| 0| 0| 0| 0| 0| 0]| [0| 5| 0| 0| 0| 0| 0| 0| 3]| [3| 8| 9| 0| 0| 1| 5| 0| 0]| [0| 0| 2| 0| 0| 0| 0| 7| 0]| [0| 1| 0| 0| 3| 0| 0| 0| 0]| [0| 0| 5| 1| 0| 8| 0| 4| 0]| [2| 3| 8| 0| 0| 0| 1| 0| 0]]"
13,48,3,2,1,81,0,0.3767056465148926,100,2,"[[0| 0| 0| 0| 0| 9| 4| 0| 0]| [6| 0| 5| 3| 7| 1| 0| 0| 8]| [7| 0| 0| 2| 6| 4| 0| 0| 1]| [0| 0| 0| 0| 0| 0| 3| 0| 0]| [5| 0| 0| 9| 4| 3| 6| 7| 0]| [0| 0| 2| 7| 0| 0| 0| 0| 0]| [0| 5| 0| 0| 3| 0| 7| 4| 6]| [0| 0| 0| 6| 0| 0| 0| 8| 9]| [2| 0| 6| 0| 0| 0| 0| 0| 0]]"
13,52,0,1,8,81,13,15.482081651687622,100,2,"[[0| 0| 0| 9| 0| 5| 4| 7| 8]| [0| 5| 8| 4| 0| 2| 0| 0| 9]| [0| 0| 0| 0| 0| 0| 0| 6| 0]| [0| 3| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 4| 0| 0| 0| 0]| [6| 0| 9| 8| 0| 0| 0| 4| 3]| [0| 0| 1| 6| 8| 4| 0| 5| 0]| [0| 0| 5| 7| 0| 0| 0| 9| 0]| [0| 0| 0| 0| 2| 0| 0| 1| 0]]"
24,56,0,0,1,81,37,47.04995918273926,100,2,"[[0| 4| 5| 0| 0| 0| 0| 0| 0]| [8| 0| 0| 2| 0| 0| 6| 0| 0]| [0| 0| 0| 9| 0| 7| 5| 0| 2]| [9| 0| 0| 4| 0| 0| 0| 2| 0]| [0| 0| 0| 0| 8| 6| 0| 3| 0]| [0| 8| 0| 0| 9| 0| 0| 0| 0]| [0| 0| 0| 0| 6| 0| 3| 0| 8]| [5| 0| 0| 1| 0| 0| 0| 0| 4]| [0| 9| 6| 0| 0| 0| 0| 0| 0]]"
19,54,1,3,4,81,16,20.310072898864746,100,2,"[[0| 0| 0| 0| 0| 2| 3| 0| 0]| [0| 0| 0| 8| 0| 7| 5| 4| 0]| [0| 0| 1| 0| 0| 0| 0| 0| 2]| [3| 0| 0| 0| 5| 0| 7| 8| 1]| [1| 9| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 6| 0| 0| 0| 0]| [8| 0| 0| 0| 3| 0| 0| 0| 9]| [5| 0| 0| 0| 0| 1| 0| 0| 8]| [9| 1| 0| 0| 2| 0| 0| 5| 0]]"
12,56,2,0,5,81,11,15.35157585144043,100,2,"[[5| 0| 0| 0| 0| 6| 3| 0| 0]| [0| 0| 0| 0| 4| 9| 0| 0| 0]| [4| 0| 8| 1| 0| 0| 6| 0| 0]| [6| 0| 0| 0| 1| 5| 2| 0| 0]| [0| 1| 0| 0| 0| 3| 0| 0| 0]| [0| 0| 0| 4| 0| 0| 0| 0| 0]| [0| 0| 0| 9| 0| 0| 0| 0| 5]| [3| 6| 1| 8| 0| 0| 7| 0| 0]| [0| 0| 0| 0| 0| 1| 0| 0| 0]]"
10,56,0,16,10,81,1,2.015636682510376,100,2,"[[0| 1| 0| 0| 0| 4| 0| 7| 9]| [0| 8| 3| 0| 0| 0| 0| 0| 0]| [0| 0| 4| 0| 0| 0| 0| 0| 0]| [0| 0| 8| 0| 3| 0| 0| 1| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 7]| [0| 0| 6| 0| 7| 2| 3| 0| 0]| [0| 2| 0| 8| 5| 0| 0| 0| 0]| [8| 0| 7| 4| 0| 0| 5| 0| 1]| [0| 6| 0| 0| 0| 9| 0| 0| 0]]"
13,59,16,16,0,81,7,10.846251487731934,100,2,"[[2| 8| 0| 0| 0| 0| 0| 0| 4]| [0| 0| 0| 0| 5| 6| 0| 0| 0]| [9| 0| 0| 4| 0| 0| 7| 8| 0]| [1| 0| 0| 0| 4| 0| 0| 0| 0]| [0| 0| 0| 0| 7| 0| 0| 0| 3]| [0| 0| 5| 9| 3| 0| 0| 0| 0]| [4| 0| 9| 0| 0| 0| 0| 0| 5]| [0| 0| 0| 7| 0| 0| 0| 6| 8]| [0| 0| 0| 0| 0| 0| 0| 0| 0]]"
